"datos_año","distrito_nombre","inmuebles_barrio","año_cons_medio","val_cat_barrio"
2013,"Centro",13037,1928,1859332585.3
2013,"Centro",24497,1927,2474861931.45
2013,"Centro",6406,1921,1181971661.81
2013,"Centro",10082,1928,2164151948.22
2013,"Centro",19370,1929,2466697108.88
2013,"Centro",4348,1918,924762212.5
2013,"Arganzuela",10708,1971,1286874061.01
2013,"Arganzuela",17511,1976,2082582788.45
2013,"Arganzuela",9376,1957,903590757.69
2013,"Arganzuela",8389,1997,1244198031.44
2013,"Arganzuela",13051,1970,1499766259.26
2013,"Arganzuela",13307,1953,1362556805.42
2013,"Arganzuela",490,1996,80734770.16
2013,"Retiro",16706,1964,2057541913.81
2013,"Retiro",8235,1982,1112981661.57
2013,"Retiro",9347,1973,1706620857.55
2013,"Retiro",10027,1948,1963644480.55
2013,"Retiro",3139,1949,1316571918.37
2013,"Retiro",6236,1968,1562876485.34
2013,"Salamanca",8494,1945,3592887308.55
2013,"Salamanca",15898,1944,3132732990.74
2013,"Salamanca",10432,1958,1404201049.39
2013,"Salamanca",20059,1966,2959692013.33
2013,"Salamanca",10742,1950,2085842410.75
2013,"Salamanca",8245,1951,2964505206.03
2013,"Chamartín",7145,1966,2986871260.01
2013,"Chamartín",18454,1969,2420383107.26
2013,"Chamartín",8619,1966,1215895618.22
2013,"Chamartín",13879,1968,2947475094.76
2013,"Chamartín",10183,1970,2757661846.58
2013,"Chamartín",7716,1973,1218058546.92
2013,"Tetuán",13353,1959,1270324164.04
2013,"Tetuán",17933,1962,2604645636.76
2013,"Tetuán",11850,1969,1827948244.2
2013,"Tetuán",9990,1984,1114822817.26
2013,"Tetuán",12191,1979,912224295.96
2013,"Tetuán",11641,1970,1008571074.42
2013,"Chamberí",12820,1956,1990613454.38
2013,"Chamberí",13313,1951,1901403651.87
2013,"Chamberí",13213,1950,1925068184.41
2013,"Chamberí",8890,1957,2604281617.67
2013,"Chamberí",13980,1956,2229501219.31
2013,"Chamberí",9716,1963,2064904657.77
2013,"Fuencarral - El Pardo",1446,1959,156841389.47
2013,"Fuencarral - El Pardo",1293,1972,421046934.5
2013,"Fuencarral - El Pardo",19416,1980,2638439679.6
2013,"Fuencarral - El Pardo",21354,1969,1803612912.58
2013,"Fuencarral - El Pardo",13504,1980,1981255902.18
2013,"Fuencarral - El Pardo",25933,1989,3191385310.08
2013,"Fuencarral - El Pardo",10209,1990,2179081023.05
2013,"Fuencarral - El Pardo",6452,2005,984794831.91
2013,"Moncloa - Aravaca",6331,1969,692978706.84
2013,"Moncloa - Aravaca",12544,1948,3057895458.18
2013,"Moncloa - Aravaca",7327,1973,2003165502.15
2013,"Moncloa - Aravaca",14092,1968,1385855806.45
2013,"Moncloa - Aravaca",2425,2001,808365192.06
2013,"Moncloa - Aravaca",992,1981,520075989.72
2013,"Moncloa - Aravaca",9383,1990,2165519496.59
2013,"Latina",7364,1977,571024275.93
2013,"Latina",19971,1964,1556969936.07
2013,"Latina",16158,1972,1221701069.86
2013,"Latina",29894,1970,2214157703.02
2013,"Latina",8451,1973,636316880.59
2013,"Latina",2095,2006,238092307.58
2013,"Latina",22925,1973,1398108173.22
2013,"Carabanchel",10869,1966,874631989.2
2013,"Carabanchel",14777,1972,1190632637.08
2013,"Carabanchel",16984,1975,1325264635.03
2013,"Carabanchel",19147,1970,1460366411.51
2013,"Carabanchel",13947,1974,1037120480.88
